"package","github_repo","git","eco_guess","llm_guess","debian_avg_downloads","homebrew_avg_downloads","downloads_score","pagerank","value_class","license"
"glibc","bminor/glibc","https://github.com/bminor/glibc.git","","git,github","230082","354990","674803","0.21509595","A","gpl-2.0-or-later and lgpl-2.1-or-later"
"gcc","gcc-mirror/gcc","https://github.com/gcc-mirror/gcc.git","","git,github","230118","1109102","1428966","0.05757664","A","gpl-3.0-or-later with gcc-exception-3.1"
"libxcrypt","besser82/libxcrypt","https://github.com/besser82/libxcrypt.git","","","151303","191454","401765","0.03198040","A","lgpl-2.1-or-later"
"linux","archlinux/linux","https://github.com/torvalds/linux.git","","git,github","133723","215600","401474","0.03088998","A",""
"rpcsvc-proto","thkukuk/rpcsvc-proto","https://github.com/thkukuk/rpcsvc-proto.git","","","49971","0","69459","0.03050512","A",""
"gettext","mlocati/gettext-iconv-windows","https://git.savannah.gnu.org/git/gettext.git","","git","14127","2480985","2500621","0.01926287","A","gpl-3.0-or-later and lgpl-2.1-or-later"
"zlib","madler/zlib","https://github.com/madler/zlib.git","","","230123","890331","1210201","0.01591004","A","zlib"
"zstd","facebook/zstd","https://github.com/facebook/zstd.git","","","195196","1911802","2183124","0.01508664","A","(bsd-3-clause or gpl-2.0-only) and bsd-2-clause and mit"
"gmp","gmp-mirror/gmp","https://github.com/gmp-mirror/gmp.git","","git,github","226842","1358823","1674133","0.01439135","A","lgpl-3.0-or-later or gpl-2.0-or-later"
"xz","tukaani-project/xz","https://github.com/tukaani-project/xz.git","","","227645","3855986","4172412","0.00954323","A","0bsd and gpl-2.0-or-later"
"systemd","systemd/systemd","https://github.com/systemd/systemd.git","","","229282","72406","391107","0.00892435","B","lgpl-2.1-or-later and gpl-2.0-or-later and cc0-1.0 and lgpl-2.0-or-later and mit and mit-0 and licenseref-homebrew-public-domain and (lgpl-2.0-or-later with linux-syscall-note) and (gpl-1.0-or-later with linux-syscall-note) and (gpl-2.0-or-later with linux-syscall-note) and (gpl-2.0-only with linux-syscall-note) and (bsd-3-clause or (gpl-2.0-only with linux-syscall-note)) and (mit or (gpl-2.0-only with linux-syscall-note)) and (mit or (gpl-2.0-or-later with linux-syscall-note)) and (gpl-2.0-only or bsd-2-clause)"
"openssl","openssl/openssl","https://github.com/openssl/openssl.git","","","229107","3498788","3817246","0.00872555","B",""
