id,github_repo,packages,pkgs_npm,pkgs_pypi,pkgs_crates,pkgs_cpp,pkgs_total,pr_cum_pct_npm,pr_cum_pct_pypi,pr_cum_pct_crates,pr_cum_pct_cpp,class_npm,class_pypi,class_crates,class_cpp,class_total,is_eol
1,babel/babel,@babel/cli (npm); @babel/code-frame (npm); @babel/compat-data (npm); @babel/core (npm); @babel/eslint-parser (npm); @babel/generator (npm); @babel/helper-annotate-as-pure (npm); @babel/helper-compilation-targets (npm); @babel/helper-create-class-features-plugin (npm); @babel/helper-create-regexp-features-plugin (npm); @babel/helper-environment-visitor (npm); @babel/helper-globals (npm); @babel/helper-member-expression-to-functions (npm); @babel/helper-module-imports (npm); @babel/helper-module-transforms (npm); @babel/helper-optimise-call-expression (npm); @babel/helper-plugin-utils (npm); @babel/helper-remap-async-to-generator (npm); @babel/helper-replace-supers (npm); @babel/helper-skip-transparent-expression-wrappers (npm); @babel/helper-string-parser (npm); @babel/helper-validator-identifier (npm); @babel/helper-validator-option (npm); @babel/helper-wrap-function (npm); @babel/helpers (npm); @babel/highlight (npm); @babel/parser (npm); @babel/plugin-bugfix-firefox-class-in-computed-class-key (npm); @babel/plugin-bugfix-safari-class-field-initializer-scope (npm); @babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression (npm); @babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining (npm); @babel/plugin-bugfix-v8-static-class-fields-redefine-readonly (npm); @babel/plugin-proposal-async-generator-functions (npm); @babel/plugin-proposal-class-properties (npm); @babel/plugin-proposal-decorators (npm); @babel/plugin-proposal-export-default-from (npm); @babel/plugin-proposal-export-namespace-from (npm); @babel/plugin-proposal-nullish-coalescing-operator (npm); @babel/plugin-proposal-numeric-separator (npm); @babel/plugin-proposal-object-rest-spread (npm); @babel/plugin-proposal-optional-catch-binding (npm); @babel/plugin-proposal-optional-chaining (npm); @babel/plugin-proposal-private-methods (npm); @babel/plugin-proposal-unicode-property-regex (npm); @babel/plugin-syntax-async-generators (npm); @babel/plugin-syntax-bigint (npm); @babel/plugin-syntax-class-properties (npm); @babel/plugin-syntax-class-static-block (npm); @babel/plugin-syntax-decorators (npm); @babel/plugin-syntax-dynamic-import (npm); @babel/plugin-syntax-export-default-from (npm); @babel/plugin-syntax-export-namespace-from (npm); @babel/plugin-syntax-flow (npm); @babel/plugin-syntax-import-assertions (npm); @babel/plugin-syntax-import-attributes (npm); @babel/plugin-syntax-import-meta (npm); @babel/plugin-syntax-json-strings (npm); @babel/plugin-syntax-jsx (npm); @babel/plugin-syntax-logical-assignment-operators (npm); @babel/plugin-syntax-nullish-coalescing-operator (npm); @babel/plugin-syntax-numeric-separator (npm); @babel/plugin-syntax-object-rest-spread (npm); @babel/plugin-syntax-optional-catch-binding (npm); @babel/plugin-syntax-optional-chaining (npm); @babel/plugin-syntax-private-property-in-object (npm); @babel/plugin-syntax-top-level-await (npm); @babel/plugin-syntax-typescript (npm); @babel/plugin-syntax-unicode-sets-regex (npm); @babel/plugin-transform-arrow-functions (npm); @babel/plugin-transform-async-generator-functions (npm); @babel/plugin-transform-async-to-generator (npm); @babel/plugin-transform-block-scoped-functions (npm); @babel/plugin-transform-block-scoping (npm); @babel/plugin-transform-class-properties (npm); @babel/plugin-transform-class-static-block (npm); @babel/plugin-transform-classes (npm); @babel/plugin-transform-computed-properties (npm); @babel/plugin-transform-destructuring (npm); @babel/plugin-transform-dotall-regex (npm); @babel/plugin-transform-duplicate-keys (npm); @babel/plugin-transform-duplicate-named-capturing-groups-regex (npm); @babel/plugin-transform-dynamic-import (npm); @babel/plugin-transform-explicit-resource-management (npm); @babel/plugin-transform-exponentiation-operator (npm); @babel/plugin-transform-export-namespace-from (npm); @babel/plugin-transform-flow-strip-types (npm); @babel/plugin-transform-for-of (npm); @babel/plugin-transform-function-name (npm); @babel/plugin-transform-json-strings (npm); @babel/plugin-transform-literals (npm); @babel/plugin-transform-logical-assignment-operators (npm); @babel/plugin-transform-member-expression-literals (npm); @babel/plugin-transform-modules-amd (npm); @babel/plugin-transform-modules-commonjs (npm); @babel/plugin-transform-modules-systemjs (npm); @babel/plugin-transform-modules-umd (npm); @babel/plugin-transform-named-capturing-groups-regex (npm); @babel/plugin-transform-new-target (npm); @babel/plugin-transform-nullish-coalescing-operator (npm); @babel/plugin-transform-numeric-separator (npm); @babel/plugin-transform-object-assign (npm); @babel/plugin-transform-object-rest-spread (npm); @babel/plugin-transform-object-super (npm); @babel/plugin-transform-optional-catch-binding (npm); @babel/plugin-transform-optional-chaining (npm); @babel/plugin-transform-parameters (npm); @babel/plugin-transform-private-methods (npm); @babel/plugin-transform-private-property-in-object (npm); @babel/plugin-transform-property-literals (npm); @babel/plugin-transform-react-constant-elements (npm); @babel/plugin-transform-react-display-name (npm); @babel/plugin-transform-react-jsx (npm); @babel/plugin-transform-react-jsx-development (npm); @babel/plugin-transform-react-jsx-self (npm); @babel/plugin-transform-react-jsx-source (npm); @babel/plugin-transform-react-pure-annotations (npm); @babel/plugin-transform-regenerator (npm); @babel/plugin-transform-regexp-modifiers (npm); @babel/plugin-transform-reserved-words (npm); @babel/plugin-transform-runtime (npm); @babel/plugin-transform-shorthand-properties (npm); @babel/plugin-transform-spread (npm); @babel/plugin-transform-sticky-regex (npm); @babel/plugin-transform-template-literals (npm); @babel/plugin-transform-typeof-symbol (npm); @babel/plugin-transform-typescript (npm); @babel/plugin-transform-unicode-escapes (npm); @babel/plugin-transform-unicode-property-regex (npm); @babel/plugin-transform-unicode-regex (npm); @babel/plugin-transform-unicode-sets-regex (npm); @babel/polyfill (npm); @babel/preset-env (npm); @babel/preset-flow (npm); @babel/preset-react (npm); @babel/preset-typescript (npm); @babel/register (npm); @babel/runtime (npm); @babel/runtime-corejs2 (npm); @babel/runtime-corejs3 (npm); @babel/standalone (npm); @babel/template (npm); @babel/traverse (npm); @babel/types (npm); babel-code-frame (npm); babel-core (npm); babel-generator (npm); babel-helper-builder-binary-assignment-operator-visitor (npm); babel-helper-call-delegate (npm); babel-helper-define-map (npm); babel-helper-explode-assignable-expression (npm); babel-helper-function-name (npm); babel-helper-get-function-arity (npm); babel-helper-hoist-variables (npm); babel-helper-optimise-call-expression (npm); babel-helper-regex (npm); babel-helper-remap-async-to-generator (npm); babel-helper-replace-supers (npm); babel-helpers (npm); babel-messages (npm); babel-plugin-check-es2015-constants (npm); babel-plugin-syntax-async-functions (npm); babel-plugin-syntax-class-properties (npm); babel-plugin-syntax-dynamic-import (npm); babel-plugin-syntax-exponentiation-operator (npm); babel-plugin-syntax-jsx (npm); babel-plugin-syntax-object-rest-spread (npm); babel-plugin-syntax-trailing-function-commas (npm); babel-plugin-transform-async-to-generator (npm); babel-plugin-transform-class-properties (npm); babel-plugin-transform-es2015-arrow-functions (npm); babel-plugin-transform-es2015-block-scoped-functions (npm); babel-plugin-transform-es2015-block-scoping (npm); babel-plugin-transform-es2015-classes (npm); babel-plugin-transform-es2015-computed-properties (npm); babel-plugin-transform-es2015-destructuring (npm); babel-plugin-transform-es2015-duplicate-keys (npm); babel-plugin-transform-es2015-for-of (npm); babel-plugin-transform-es2015-function-name (npm); babel-plugin-transform-es2015-literals (npm); babel-plugin-transform-es2015-modules-amd (npm); babel-plugin-transform-es2015-modules-commonjs (npm); babel-plugin-transform-es2015-modules-systemjs (npm); babel-plugin-transform-es2015-modules-umd (npm); babel-plugin-transform-es2015-object-super (npm); babel-plugin-transform-es2015-parameters (npm); babel-plugin-transform-es2015-shorthand-properties (npm); babel-plugin-transform-es2015-spread (npm); babel-plugin-transform-es2015-sticky-regex (npm); babel-plugin-transform-es2015-template-literals (npm); babel-plugin-transform-es2015-typeof-symbol (npm); babel-plugin-transform-es2015-unicode-regex (npm); babel-plugin-transform-exponentiation-operator (npm); babel-plugin-transform-object-rest-spread (npm); babel-plugin-transform-regenerator (npm); babel-plugin-transform-strict-mode (npm); babel-polyfill (npm); babel-preset-es2015 (npm); babel-register (npm); babel-runtime (npm); babel-template (npm); babel-traverse (npm); babel-types (npm),202,0,0,0,202,7.7498,,,,A,,,,A,False
2,definitelytyped/definitelytyped,@types/accepts (npm); @types/archiver (npm); @types/argparse (npm); @types/aria-query (npm); @types/aws-lambda (npm); @types/babel-types (npm); @types/babel__core (npm); @types/babel__generator (npm); @types/babel__template (npm); @types/babel__traverse (npm); @types/bezier-js (npm); @types/bluebird (npm); @types/bn.js (npm); @types/body-parser (npm); @types/bonjour (npm); @types/buffer-from (npm); @types/bunyan (npm); @types/caseless (npm); @types/chai (npm); @types/cls-hooked (npm); @types/command-line-args (npm); @types/command-line-usage (npm); @types/concat-stream (npm); @types/connect (npm); @types/connect-history-api-fallback (npm); @types/content-disposition (npm); @types/cookiejar (npm); @types/cookies (npm); @types/cors (npm); @types/crypto-js (npm); @types/d3 (npm); @types/d3-array (npm); @types/d3-axis (npm); @types/d3-brush (npm); @types/d3-chord (npm); @types/d3-color (npm); @types/d3-contour (npm); @types/d3-delaunay (npm); @types/d3-dispatch (npm); @types/d3-drag (npm); @types/d3-dsv (npm); @types/d3-ease (npm); @types/d3-fetch (npm); @types/d3-force (npm); @types/d3-format (npm); @types/d3-geo (npm); @types/d3-hierarchy (npm); @types/d3-interpolate (npm); @types/d3-path (npm); @types/d3-polygon (npm); @types/d3-quadtree (npm); @types/d3-random (npm); @types/d3-scale (npm); @types/d3-scale-chromatic (npm); @types/d3-selection (npm); @types/d3-shape (npm); @types/d3-time (npm); @types/d3-time-format (npm); @types/d3-timer (npm); @types/d3-transition (npm); @types/d3-zoom (npm); @types/debug (npm); @types/deep-eql (npm); @types/doctrine (npm); @types/duplexify (npm); @types/ejs (npm); @types/emscripten (npm); @types/eslint (npm); @types/esquery (npm); @types/esrecurse (npm); @types/estree (npm); @types/estree-jsx (npm); @types/express (npm); @types/express-serve-static-core (npm); @types/fs-extra (npm); @types/geojson (npm); @types/geojson-vt (npm); @types/google.maps (npm); @types/graceful-fs (npm); @types/hammerjs (npm); @types/hast (npm); @types/hoist-non-react-statics (npm); @types/html-minifier-terser (npm); @types/http-assert (npm); @types/http-cache-semantics (npm); @types/http-errors (npm); @types/http-proxy (npm); @types/inquirer (npm); @types/invariant (npm); @types/istanbul-lib-coverage (npm); @types/istanbul-lib-report (npm); @types/istanbul-reports (npm); @types/jest (npm); @types/jquery (npm); @types/js-cookie (npm); @types/js-yaml (npm); @types/jsdom (npm); @types/json-schema (npm); @types/jsonfile (npm); @types/jsonwebtoken (npm); @types/keygrip (npm); @types/koa (npm); @types/koa-compose (npm); @types/linkify-it (npm); @types/lodash (npm); @types/lodash-es (npm); @types/lodash.debounce (npm); @types/luxon (npm); @types/markdown-it (npm); @types/mdast (npm); @types/mdurl (npm); @types/mdx (npm); @types/methods (npm); @types/mime-types (npm); @types/minimist (npm); @types/mocha (npm); @types/ms (npm); @types/multer (npm); @types/mysql (npm); @types/node (npm); @types/node-fetch (npm); @types/normalize-package-data (npm); @types/offscreencanvas (npm); @types/pako (npm); @types/papaparse (npm); @types/pbf (npm); @types/pg (npm); @types/pg-pool (npm); @types/picomatch (npm); @types/pluralize (npm); @types/prismjs (npm); @types/prop-types (npm); @types/q (npm); @types/qs (npm); @types/raf (npm); @types/ramda (npm); @types/range-parser (npm); @types/reach__router (npm); @types/react (npm); @types/react-dom (npm); @types/react-reconciler (npm); @types/react-router (npm); @types/react-router-dom (npm); @types/react-test-renderer (npm); @types/react-transition-group (npm); @types/readable-stream (npm); @types/readdir-glob (npm); @types/request (npm); @types/resolve (npm); @types/responselike (npm); @types/retry (npm); @types/sax (npm); @types/selenium-webdriver (npm); @types/semver (npm); @types/send (npm); @types/serve-index (npm); @types/serve-static (npm); @types/set-cookie-parser (npm); @types/sinon (npm); @types/sinonjs__fake-timers (npm); @types/sizzle (npm); @types/sockjs (npm); @types/source-list-map (npm); @types/ssh2 (npm); @types/stack-utils (npm); @types/statuses (npm); @types/styled-components (npm); @types/stylis (npm); @types/superagent (npm); @types/supercluster (npm); @types/supertest (npm); @types/symlink-or-copy (npm); @types/through (npm); @types/tinycolor2 (npm); @types/tmp (npm); @types/tough-cookie (npm); @types/triple-beam (npm); @types/trusted-types (npm); @types/ua-parser-js (npm); @types/unist (npm); @types/use-sync-external-store (npm); @types/validator (npm); @types/vinyl (npm); @types/warning (npm); @types/web-bluetooth (npm); @types/webidl-conversions (npm); @types/webpack (npm); @types/webpack-env (npm); @types/webpack-sources (npm); @types/whatwg-url (npm); @types/which (npm); @types/ws (npm); @types/yargs (npm); @types/yargs-parser (npm); @types/yauzl (npm); @types/zen-observable (npm),196,0,0,0,196,10.518,,,,A,,,,A,False
3,lodash/lodash,lodash (npm); lodash-es (npm); lodash._baseassign (npm); lodash._basecopy (npm); lodash._basetostring (npm); lodash._basevalues (npm); lodash._bindcallback (npm); lodash._getnative (npm); lodash._isiterateecall (npm); lodash._reescape (npm); lodash._reevaluate (npm); lodash._reinterpolate (npm); lodash._root (npm); lodash.assign (npm); lodash.assignin (npm); lodash.bind (npm); lodash.camelcase (npm); lodash.capitalize (npm); lodash.castarray (npm); lodash.clone (npm); lodash.clonedeep (npm); lodash.curry (npm); lodash.debounce (npm); lodash.deburr (npm); lodash.defaults (npm); lodash.defaultsdeep (npm); lodash.difference (npm); lodash.escape (npm); lodash.escaperegexp (npm); lodash.filter (npm); lodash.find (npm); lodash.flatten (npm); lodash.flattendeep (npm); lodash.flow (npm); lodash.foreach (npm); lodash.get (npm); lodash.groupby (npm); lodash.has (npm); lodash.includes (npm); lodash.isarguments (npm); lodash.isarray (npm); lodash.isboolean (npm); lodash.isempty (npm); lodash.isequal (npm); lodash.isfinite (npm); lodash.isfunction (npm); lodash.isinteger (npm); lodash.ismatch (npm); lodash.isnil (npm); lodash.isnumber (npm); lodash.isobject (npm); lodash.isplainobject (npm); lodash.isstring (npm); lodash.isundefined (npm); lodash.kebabcase (npm); lodash.keys (npm); lodash.map (npm); lodash.mapvalues (npm); lodash.memoize (npm); lodash.merge (npm); lodash.mergewith (npm); lodash.omit (npm); lodash.once (npm); lodash.padend (npm); lodash.pick (npm); lodash.pickby (npm); lodash.reduce (npm); lodash.reject (npm); lodash.restparam (npm); lodash.set (npm); lodash.snakecase (npm); lodash.some (npm); lodash.sortby (npm); lodash.startcase (npm); lodash.template (npm); lodash.templatesettings (npm); lodash.throttle (npm); lodash.toarray (npm); lodash.topath (npm); lodash.transform (npm); lodash.truncate (npm); lodash.unescape (npm); lodash.union (npm); lodash.uniq (npm); lodash.uniqby (npm); lodash.upperfirst (npm); lodash.values (npm); lodash.zip (npm),88,0,0,0,88,17.339,,,,A,,,,A,False
4,csstools/postcss-plugins,@csstools/cascade-layer-name-parser (npm); @csstools/color-helpers (npm); @csstools/css-calc (npm); @csstools/css-color-parser (npm); @csstools/css-parser-algorithms (npm); @csstools/css-syntax-patches-for-csstree (npm); @csstools/css-tokenizer (npm); @csstools/media-query-list-parser (npm); @csstools/postcss-alpha-function (npm); @csstools/postcss-cascade-layers (npm); @csstools/postcss-color-function (npm); @csstools/postcss-color-function-display-p3-linear (npm); @csstools/postcss-color-mix-function (npm); @csstools/postcss-color-mix-variadic-function-arguments (npm); @csstools/postcss-content-alt-text (npm); @csstools/postcss-contrast-color-function (npm); @csstools/postcss-exponential-functions (npm); @csstools/postcss-font-format-keywords (npm); @csstools/postcss-font-width-property (npm); @csstools/postcss-gamut-mapping (npm); @csstools/postcss-gradients-interpolation-method (npm); @csstools/postcss-hwb-function (npm); @csstools/postcss-ic-unit (npm); @csstools/postcss-initial (npm); @csstools/postcss-is-pseudo-class (npm); @csstools/postcss-light-dark-function (npm); @csstools/postcss-logical-float-and-clear (npm); @csstools/postcss-logical-overflow (npm); @csstools/postcss-logical-overscroll-behavior (npm); @csstools/postcss-logical-resize (npm); @csstools/postcss-logical-viewport-units (npm); @csstools/postcss-media-minmax (npm); @csstools/postcss-media-queries-aspect-ratio-number-values (npm); @csstools/postcss-mixins (npm); @csstools/postcss-nested-calc (npm); @csstools/postcss-normalize-display-values (npm); @csstools/postcss-oklab-function (npm); @csstools/postcss-position-area-property (npm); @csstools/postcss-progressive-custom-properties (npm); @csstools/postcss-property-rule-prelude-list (npm); @csstools/postcss-random-function (npm); @csstools/postcss-relative-color-syntax (npm); @csstools/postcss-scope-pseudo-class (npm); @csstools/postcss-sign-functions (npm); @csstools/postcss-stepped-value-functions (npm); @csstools/postcss-syntax-descriptor-syntax-production (npm); @csstools/postcss-system-ui-font-family (npm); @csstools/postcss-text-decoration-shorthand (npm); @csstools/postcss-trigonometric-functions (npm); @csstools/postcss-unset-value (npm); @csstools/selector-resolve-nested (npm); @csstools/selector-specificity (npm); @csstools/utilities (npm); css-blank-pseudo (npm); css-has-pseudo (npm); css-prefers-color-scheme (npm); postcss-attribute-case-insensitive (npm); postcss-browser-comments (npm); postcss-color-functional-notation (npm); postcss-color-hex-alpha (npm); postcss-color-rebeccapurple (npm); postcss-custom-media (npm); postcss-custom-properties (npm); postcss-custom-selectors (npm); postcss-dir-pseudo-class (npm); postcss-double-position-gradients (npm); postcss-env-function (npm); postcss-focus-visible (npm); postcss-focus-within (npm); postcss-gap-properties (npm); postcss-image-set-function (npm); postcss-lab-function (npm); postcss-logical (npm); postcss-nesting (npm); postcss-overflow-shorthand (npm); postcss-place (npm); postcss-preset-env (npm); postcss-pseudo-class-any-link (npm); postcss-selector-not (npm),79,0,0,0,79,26.2585,,,,A,,,,A,False
5,aws/aws-sdk-js-v3,@aws-sdk/client-cloudwatch-logs (npm); @aws-sdk/client-cognito-identity (npm); @aws-sdk/client-dynamodb (npm); @aws-sdk/client-iam (npm); @aws-sdk/client-lambda (npm); @aws-sdk/client-s3 (npm); @aws-sdk/client-secrets-manager (npm); @aws-sdk/client-sfn (npm); @aws-sdk/client-sqs (npm); @aws-sdk/client-ssm (npm); @aws-sdk/client-sso-oidc (npm); @aws-sdk/client-sts (npm); @aws-sdk/core (npm); @aws-sdk/crc64-nvme (npm); @aws-sdk/credential-provider-cognito-identity (npm); @aws-sdk/credential-provider-env (npm); @aws-sdk/credential-provider-http (npm); @aws-sdk/credential-provider-ini (npm); @aws-sdk/credential-provider-login (npm); @aws-sdk/credential-provider-node (npm); @aws-sdk/credential-provider-process (npm); @aws-sdk/credential-provider-sso (npm); @aws-sdk/credential-provider-web-identity (npm); @aws-sdk/credential-providers (npm); @aws-sdk/dynamodb-codec (npm); @aws-sdk/endpoint-cache (npm); @aws-sdk/hash-node (npm); @aws-sdk/lib-dynamodb (npm); @aws-sdk/lib-storage (npm); @aws-sdk/middleware-bucket-endpoint (npm); @aws-sdk/middleware-endpoint (npm); @aws-sdk/middleware-endpoint-discovery (npm); @aws-sdk/middleware-expect-continue (npm); @aws-sdk/middleware-flexible-checksums (npm); @aws-sdk/middleware-host-header (npm); @aws-sdk/middleware-location-constraint (npm); @aws-sdk/middleware-logger (npm); @aws-sdk/middleware-recursion-detection (npm); @aws-sdk/middleware-sdk-s3 (npm); @aws-sdk/middleware-sdk-sqs (npm); @aws-sdk/middleware-ssec (npm); @aws-sdk/middleware-user-agent (npm); @aws-sdk/nested-clients (npm); @aws-sdk/querystring-builder (npm); @aws-sdk/region-config-resolver (npm); @aws-sdk/signature-v4-multi-region (npm); @aws-sdk/token-providers (npm); @aws-sdk/types (npm); @aws-sdk/util-arn-parser (npm); @aws-sdk/util-dynamodb (npm); @aws-sdk/util-endpoints (npm); @aws-sdk/util-format-url (npm); @aws-sdk/util-hex-encoding (npm); @aws-sdk/util-locate-window (npm); @aws-sdk/util-retry (npm); @aws-sdk/util-user-agent-browser (npm); @aws-sdk/util-user-agent-node (npm); @aws-sdk/util-utf8-browser (npm); @aws-sdk/util-waiter (npm); @aws-sdk/xml-builder (npm),60,0,0,0,60,19.7996,,,,A,,,,A,False
6,unicode-org/icu4x,calendrical_calculations (crates); databake (crates); databake-derive (crates); fixed_decimal (crates); icu (crates); icu_calendar (crates); icu_calendar_data (crates); icu_casemap (crates); icu_casemap_data (crates); icu_collator (crates); icu_collator_data (crates); icu_collections (crates); icu_datetime (crates); icu_datetime_data (crates); icu_decimal (crates); icu_decimal_data (crates); icu_experimental (crates); icu_experimental_data (crates); icu_list (crates); icu_list_data (crates); icu_locale (crates); icu_locale_core (crates); icu_locale_data (crates); icu_locid (crates); icu_locid_transform (crates); icu_locid_transform_data (crates); icu_normalizer (crates); icu_normalizer_data (crates); icu_pattern (crates); icu_plurals (crates); icu_plurals_data (crates); icu_properties (crates); icu_properties_data (crates); icu_provider (crates); icu_provider_adapters (crates); icu_provider_blob (crates); icu_provider_macros (crates); icu_provider_registry (crates); icu_segmenter (crates); icu_segmenter_data (crates); icu_time (crates); icu_time_data (crates); ixdtf (crates); litemap (crates); potential_utf (crates); resb (crates); tinystr (crates); tzif (crates); writeable (crates); yoke (crates); yoke-derive (crates); zerofrom (crates); zerofrom-derive (crates); zerotrie (crates); zerovec (crates); zerovec-derive (crates); zoneinfo64 (crates),0,0,57,0,57,,,46.0341,,,,A,,A,False
7,radix-ui/primitives,@radix-ui/number (npm); @radix-ui/primitive (npm); @radix-ui/react-accordion (npm); @radix-ui/react-alert-dialog (npm); @radix-ui/react-arrow (npm); @radix-ui/react-aspect-ratio (npm); @radix-ui/react-avatar (npm); @radix-ui/react-checkbox (npm); @radix-ui/react-collapsible (npm); @radix-ui/react-collection (npm); @radix-ui/react-compose-refs (npm); @radix-ui/react-context (npm); @radix-ui/react-context-menu (npm); @radix-ui/react-dialog (npm); @radix-ui/react-direction (npm); @radix-ui/react-dismissable-layer (npm); @radix-ui/react-dropdown-menu (npm); @radix-ui/react-focus-guards (npm); @radix-ui/react-focus-scope (npm); @radix-ui/react-hover-card (npm); @radix-ui/react-id (npm); @radix-ui/react-label (npm); @radix-ui/react-menu (npm); @radix-ui/react-menubar (npm); @radix-ui/react-navigation-menu (npm); @radix-ui/react-popover (npm); @radix-ui/react-popper (npm); @radix-ui/react-portal (npm); @radix-ui/react-presence (npm); @radix-ui/react-primitive (npm); @radix-ui/react-progress (npm); @radix-ui/react-radio-group (npm); @radix-ui/react-roving-focus (npm); @radix-ui/react-scroll-area (npm); @radix-ui/react-select (npm); @radix-ui/react-separator (npm); @radix-ui/react-slider (npm); @radix-ui/react-slot (npm); @radix-ui/react-switch (npm); @radix-ui/react-tabs (npm); @radix-ui/react-toast (npm); @radix-ui/react-toggle (npm); @radix-ui/react-toggle-group (npm); @radix-ui/react-toolbar (npm); @radix-ui/react-tooltip (npm); @radix-ui/react-use-callback-ref (npm); @radix-ui/react-use-controllable-state (npm); @radix-ui/react-use-effect-event (npm); @radix-ui/react-use-escape-keydown (npm); @radix-ui/react-use-is-hydrated (npm); @radix-ui/react-use-layout-effect (npm); @radix-ui/react-use-previous (npm); @radix-ui/react-use-rect (npm); @radix-ui/react-use-size (npm); @radix-ui/react-visually-hidden (npm); @radix-ui/rect (npm),56,0,0,0,56,27.044,,,,A,,,,A,False
8,jestjs/jest,@jest/console (npm); @jest/core (npm); @jest/create-cache-key-function (npm); @jest/diff-sequences (npm); @jest/environment (npm); @jest/environment-jsdom-abstract (npm); @jest/expect (npm); @jest/expect-utils (npm); @jest/fake-timers (npm); @jest/get-type (npm); @jest/globals (npm); @jest/pattern (npm); @jest/reporters (npm); @jest/schemas (npm); @jest/snapshot-utils (npm); @jest/source-map (npm); @jest/test-result (npm); @jest/test-sequencer (npm); @jest/transform (npm); @jest/types (npm); babel-jest (npm); babel-plugin-jest-hoist (npm); babel-preset-jest (npm); create-jest (npm); diff-sequences (npm); expect (npm); jest (npm); jest-changed-files (npm); jest-circus (npm); jest-cli (npm); jest-config (npm); jest-diff (npm); jest-docblock (npm); jest-each (npm); jest-environment-jsdom (npm); jest-environment-node (npm); jest-get-type (npm); jest-haste-map (npm); jest-jasmine2 (npm); jest-leak-detector (npm); jest-matcher-utils (npm); jest-message-util (npm); jest-mock (npm); jest-regex-util (npm); jest-resolve (npm); jest-resolve-dependencies (npm); jest-runner (npm); jest-runtime (npm); jest-snapshot (npm); jest-util (npm); jest-validate (npm); jest-watcher (npm); jest-worker (npm); pretty-format (npm),54,0,0,0,54,12.758,,,,A,,,,A,False
9,smithy-lang/smithy-typescript,@smithy/abort-controller (npm); @smithy/chunked-blob-reader (npm); @smithy/chunked-blob-reader-native (npm); @smithy/config-resolver (npm); @smithy/core (npm); @smithy/credential-provider-imds (npm); @smithy/eventstream-codec (npm); @smithy/eventstream-serde-browser (npm); @smithy/eventstream-serde-config-resolver (npm); @smithy/eventstream-serde-node (npm); @smithy/eventstream-serde-universal (npm); @smithy/fetch-http-handler (npm); @smithy/hash-blob-browser (npm); @smithy/hash-node (npm); @smithy/hash-stream-node (npm); @smithy/invalid-dependency (npm); @smithy/is-array-buffer (npm); @smithy/md5-js (npm); @smithy/middleware-content-length (npm); @smithy/middleware-endpoint (npm); @smithy/middleware-retry (npm); @smithy/middleware-serde (npm); @smithy/middleware-stack (npm); @smithy/node-config-provider (npm); @smithy/node-http-handler (npm); @smithy/property-provider (npm); @smithy/protocol-http (npm); @smithy/querystring-builder (npm); @smithy/querystring-parser (npm); @smithy/service-error-classification (npm); @smithy/shared-ini-file-loader (npm); @smithy/signature-v4 (npm); @smithy/smithy-client (npm); @smithy/types (npm); @smithy/url-parser (npm); @smithy/util-base64 (npm); @smithy/util-body-length-browser (npm); @smithy/util-body-length-node (npm); @smithy/util-buffer-from (npm); @smithy/util-config-provider (npm); @smithy/util-defaults-mode-browser (npm); @smithy/util-defaults-mode-node (npm); @smithy/util-endpoints (npm); @smithy/util-hex-encoding (npm); @smithy/util-middleware (npm); @smithy/util-retry (npm); @smithy/util-stream (npm); @smithy/util-uri-escape (npm); @smithy/util-utf8 (npm); @smithy/util-waiter (npm); @smithy/uuid (npm),51,0,0,0,51,14.4157,,,,A,,,,A,False
10,firebase/firebase-js-sdk,@firebase/ai (npm); @firebase/analytics (npm); @firebase/analytics-compat (npm); @firebase/analytics-types (npm); @firebase/app (npm); @firebase/app-check (npm); @firebase/app-check-compat (npm); @firebase/app-check-interop-types (npm); @firebase/app-check-types (npm); @firebase/app-compat (npm); @firebase/app-types (npm); @firebase/auth (npm); @firebase/auth-compat (npm); @firebase/auth-interop-types (npm); @firebase/auth-types (npm); @firebase/component (npm); @firebase/data-connect (npm); @firebase/database (npm); @firebase/database-compat (npm); @firebase/database-types (npm); @firebase/firestore (npm); @firebase/firestore-compat (npm); @firebase/firestore-types (npm); @firebase/functions (npm); @firebase/functions-compat (npm); @firebase/functions-types (npm); @firebase/installations (npm); @firebase/installations-compat (npm); @firebase/installations-types (npm); @firebase/logger (npm); @firebase/messaging (npm); @firebase/messaging-compat (npm); @firebase/messaging-interop-types (npm); @firebase/performance (npm); @firebase/performance-compat (npm); @firebase/performance-types (npm); @firebase/remote-config (npm); @firebase/remote-config-compat (npm); @firebase/remote-config-types (npm); @firebase/storage (npm); @firebase/storage-compat (npm); @firebase/storage-types (npm); @firebase/util (npm); @firebase/webchannel-wrapper (npm); firebase (npm),45,0,0,0,45,47.0539,,,,A,,,,A,False
